Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,My Review,Media
O Beijo do Bilionário,Julie Farrell,0553380958,2.5,,Babelcube,,,,2022-11-01,,,,0
É Assim Que Acaba,Colleen Hoover,9788501301642,4.5,,Galera Record,,,,2022-10-31,,,,0
Birthday Girl,Penelope Douglas,0553380958,5,,The Gift Box,,,,2022-10-19,,,,1
A Dama Mais Desejada,Julia Quinn,8580419514,3,,Arqueiro,,,,2022-10-19,,,,2
Atraída Por Um Highlander,Maya Banks,9788550300962,3.5,,Universo dos Livros,,,,2022-10-17,,,,0
Casado com minha secretária,Roxana Aguirre,9788595560512,3.5,,UBK Publishing House,,,,2022-10-10,,,,2
Nossas Primeiras Ultimas Vezes,Bruna Pallazzo,0553380958,0,,Independente,,,,2022-10-03,,,,1
Paixão Inadequada,Vi Keeland,9786555357356,0,,Planeta de Livros,,,,2022-10-01,,,,0
O Visconde Que Me Amava,Julia Quinn,9788580411973,4,,Arqueiro,,,,2022-10-01,,,,0
Um Acordo Pecaminoso,Lisa Kleypas,9788580419023,0,,Arqueiro,,,,2022-10-01,,,,0
Uma Duquesa Qualquer,Tessa Dare,9788582354735,0,,Gutenberg,,,,2022-10-01,,,,0
O Chefão,Vi Keeland,9788542212648,2.5,,Essência,,,,2022-10-01,,,,0
O Príncipe Corvo,Elizabeth Hoyt,8501109819,0,,Record,,,,2022-10-01,,,,0
O Convite,Vi Keeland,9786555355543,3,,Essência,,,,2022-10-01,,,,0
Subindo Pelas Paredes,Alice Clayton,9788582401477,3.5,,Benvirá,,,,2022-09-15,,,,2
A Noiva do Capitão,Tessa Dare,9788582354162,0,,Gutenberg,,,,2022-09-12,,,,0
A Hipótese do Amor,Ali Hazelwood,9789899096424,4.5,,Desrotina,,,,2022-09-10,,,,0
"Para Sir Phillip, Com Amor",Julia Quinn,9788580413625,0,,Arqueiro,,,,2022-09-06,,,,0
Os Segredos de Colin Bridgerton,Julia Quinn,9788580413076,0,,Arqueiro,,,,2022-09-04,,,,0
O Duque e Eu,Julia Quinn,9788580411461,3.5,,Arqueiro,,,,2022-09-01,,,,0
O Conde Enfeitiçado,Julia Quinn,8580414407,4.5,,Arqueiro,,,,2022-08-19,,,,0
Romance com o Duque,Tessa Dare,9788582353653,0,,Gutenberg,,,,2022-08-15,,,,0
Corte de Espinhos e Rosas,Sarah Janet Maas,9788501105875,0,,Galera Record,,,,2022-08-11,,,,2
Um Perfeito Cavalheiro,Julia Quinn,9788580412383,0,,Arqueiro,,,,2022-08-09,,,,0
A casa dos budas ditosos,João Ubaldo Osório Pimentel Ribeiro ,8573022396,0,,Objetiva,,,,2022-08-01,,,,1
Um Acordo de Cavalheiros,Lucy Vargas,9788528622430,5,,Bertrand,,,,2022-07-29,,,,1
Como Se Casar Com Um Marquês,Julia Quinn,9788580417616,3,,Arqueiro,,,,2022-07-27,,,,0
Como Agarrar Uma Herdeira,Julia Quinn,9788580417593,3.5,,Arqueiro,,,,2022-07-24,,,,0
Uma farsa de amor na Espanha,Elena Armas,6555652977,5,,Arqueiro,,,,2022-07-19,,,,1
Quando você chegou,Juliana Dantas,0553380958,5,,Volúpia,,,,2022-05-31,,,,1
